asset_id,type,skill,business,avatar,date,variant,status,test_id,performance_notes
"offer-machine-20260423-A-NP22","offer-machine","offer-machine","anytime-fitness","lifestyle-member","2026-04-23","A","pending-review","offer-machine-20260423-R63W1I",""
"offer-machine-20260423-B-M5ZL","offer-machine","offer-machine","anytime-fitness","lifestyle-member","2026-04-23","B","pending-review","offer-machine-20260423-R63W1I",""
"hook-writer-20260423-A-1JZO","hook-writer","hook-writer","anytime-fitness","lifestyle-member","2026-04-23","A","pending-review","hook-writer-20260423-TCC4SI",""
"hook-writer-20260423-B-FOE2","hook-writer","hook-writer","anytime-fitness","lifestyle-member","2026-04-23","B","pending-review","hook-writer-20260423-TCC4SI",""
"ad-copy-20260423-A-ULC9","ad-copy","ad-copy","anytime-fitness","lifestyle-member","2026-04-23","A","pending-review","ad-copy-20260423-UTR767",""
"ad-copy-20260423-B-WH6Y","ad-copy","ad-copy","anytime-fitness","lifestyle-member","2026-04-23","B","pending-review","ad-copy-20260423-UTR767",""
"landing-page-20260423-A-F55G","landing-page","landing-page","anytime-fitness","lifestyle-member","2026-04-23","A","pending-review","landing-page-20260423-1DTA8H",""
"utm-no-risk-comeback-facebook-1776987342727","utm-link","utm","no-risk-comeback","lifestyle-member","2026-04-23","","active","ad-copy-20260423-B-WH6Y","source:facebook hook:hook-parent-child-moment"
"utm-no-risk-comeback-instagram-1776987342728","utm-link","utm","no-risk-comeback","lifestyle-member","2026-04-23","","active","ad-copy-20260423-B-WH6Y","source:instagram hook:hook-parent-child-moment"
"utm-no-risk-comeback-google-1776987342728","utm-link","utm","no-risk-comeback","lifestyle-member","2026-04-23","","active","ad-copy-20260423-B-WH6Y","source:google hook:hook-parent-child-moment"
"utm-no-risk-comeback-email-1776987342728","utm-link","utm","no-risk-comeback","lifestyle-member","2026-04-23","","active","ad-copy-20260423-B-WH6Y","source:email hook:hook-parent-child-moment"
"utm-no-risk-comeback-email-1776987342729","utm-link","utm","no-risk-comeback","lifestyle-member","2026-04-23","","active","email-seq-day1","source:email hook:hook-identity-reframe"
"landing-page-20260423-B-770Z","landing-page","landing-page","anytime-fitness","lifestyle-member","2026-04-23","B","pending-review","landing-page-20260423-1DTA8H",""
